Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-15755,PF,Anthony,Anthony Davis,Davis,53.80833333,60,12900,CHA@NO,NO,CHA,,
24098-9488,SF,LeBron,LeBron James,James,53.43582017,67,12500,CLE@PHO,CLE,PHO,,
24098-9642,PG,Russell,Russell Westbrook,Westbrook,53.06176399,68,12000,OKC@ATL,OKC,ATL,,
24098-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,43.23043337,69,10000,MIN@WAS,MIN,WAS,,
24098-15557,C,Andre,Andre Drummond,Drummond,45.29384766,65,9800,DET@UTA,DET,UTA,,
24098-49111,C,Joel,Joel Embiid,Embiid,44.01249913,56,9800,IND@PHI,PHI,IND,,
24098-14528,SF,Jimmy,Jimmy Butler,Butler,41.38392857,56,9700,MIN@WAS,MIN,WAS,O,Knee
24098-55062,C,Nikola,Nikola Jokic,Jokic,41.575,60,9700,DEN@LAL,DEN,LAL,,
24098-40203,C,Rudy,Rudy Gobert,Gobert,35.60487924,41,9500,DET@UTA,UTA,DET,,
24098-15684,SG,Victor,Victor Oladipo,Oladipo,42.31774115,62,9500,IND@PHI,IND,PHI,,
24098-12341,SF,Paul,Paul George,George,38.74626866,67,9000,OKC@ATL,OKC,ATL,,
24098-66115,PF,Ben,Ben Simmons,Simmons,41.24615385,65,9000,IND@PHI,PHI,IND,,
24098-9663,SG,Jrue,Jrue Holiday,Holiday,36.99394087,66,8900,CHA@NO,NO,CHA,,
24098-14518,PF,Tobias,Tobias Harris,Harris,31.23650832,63,8800,LAC@CHI,LAC,CHI,,
24098-14514,C,Nikola,Nikola Vucevic,Vucevic,37.48636419,44,8600,ORL@SA,ORL,SA,,
24098-9560,PF,Blake,Blake Griffin,Griffin,39.43800049,50,8600,DET@UTA,DET,UTA,,
24098-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,38.01311555,61,8500,ORL@SA,SA,ORL,O,Knee
24098-15595,SG,Bradley,Bradley Beal,Beal,37.62352798,68,8400,MIN@WAS,WAS,MIN,,
24098-9660,C,Dwight,Dwight Howard,Howard,36.97761194,67,8400,CHA@NO,CHA,NO,,
24098-9662,SG,Lou,Lou Williams,Williams,35.30156326,64,8400,LAC@CHI,LAC,CHI,,
24098-14507,PG,Kemba,Kemba Walker,Walker,37.24697044,66,8300,CHA@NO,CHA,NO,,
24098-58460,SG,Devin,Devin Booker,Booker,37.74422983,52,8200,CLE@PHO,PHO,CLE,GTD,Triceps
24098-9561,C,DeAndre,DeAndre Jordan,Jordan,35.23333333,60,8200,LAC@CHI,LAC,CHI,,
24098-42669,PF,Julius,Julius Randle,Randle,29.53636401,66,8100,DEN@LAL,LAL,DEN,,
24098-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.24776265,67,8100,TOR@BKN,TOR,BKN,,
24098-66113,SG,Donovan,Donovan Mitchell,Mitchell,32.26153846,65,8000,DET@UTA,UTA,DET,,
24098-9535,PG,Kyle,Kyle Lowry,Lowry,35.05156326,64,8000,TOR@BKN,TOR,BKN,,
24098-19138,PG,Elfrid,Elfrid Payton,Payton,31.12142944,56,7900,CLE@PHO,PHO,CLE,,
24098-20992,PF,Larry,Larry Nance Jr.,Nance Jr.,25.09259259,54,7800,CLE@PHO,CLE,PHO,,
