"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24511-9488","SF","LeBron","LeBron James","James","54.450002569901315","76","12300","NO@CLE","CLE","NO","","","",""
"24511-15755","PF","Anthony","Anthony Davis","Davis","54.3086963598279","69","12300","NO@CLE","NO","CLE","","","",""
"24511-9642","PG","Russell","Russell Westbrook","Westbrook","53.162666015625","75","11400","DEN@OKC","OKC","DEN","","","",""
"24511-9644","SG","James","James Harden","Harden","53.24179031599814","67","11300","PHO@HOU","HOU","PHO","","","",""
"24511-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","51.80844932878521","71","11000","MIL@LAL","MIL","LAL","","","",""
"24511-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","44.03636427049513","77","10900","MIN@DAL","MIN","DAL","","","",""
"24511-55062","C","Nikola","Nikola Jokic","Jokic","42.307351505055145","68","9800","DEN@OKC","DEN","OKC","","","",""
"24511-14528","SF","Jimmy","Jimmy Butler","Butler","41.38392857142857","56","9700","MIN@DAL","MIN","DAL","O","Knee","",""
"24511-49111","C","Joel","Joel Embiid","Embiid","43.646153846153844","65","9700","PHI@ATL","PHI","ATL","O","Eye","",""
"24511-66115","PF","Ben","Ben Simmons","Simmons","41.645946605785475","74","9600","PHI@ATL","PHI","ATL","","","",""
"24511-20848","PG","Damian","Damian Lillard","Lillard","43.1985294117647","68","9600","LAC@POR","POR","LAC","","","",""
"24511-40203","C","Rudy","Rudy Gobert","Gobert","36.495919363839285","49","8800","MEM@UTA","UTA","MEM","","","",""
"24511-9623","PG","Chris","Chris Paul","Paul","41.05555555555556","54","8700","PHO@HOU","HOU","PHO","GTD","Hip","",""
"24511-42669","PF","Julius","Julius Randle","Randle","30.3932445629223","74","8400","MIL@LAL","LAL","MIL","","","",""
"24511-9663","SG","Jrue","Jrue Holiday","Holiday","37.12973104940878","74","8100","NO@CLE","NO","CLE","","","",""
"24511-19067","SG","CJ","CJ McCollum","McCollum","33.718918259079395","74","8000","LAC@POR","POR","LAC","","","",""
"24511-66113","SG","Donovan","Donovan Mitchell","Mitchell","33.015069830907535","73","7800","MEM@UTA","UTA","MEM","","","",""
"24511-55059","C","Clint","Clint Capela","Capela","35.0735294117647","68","7800","PHO@HOU","HOU","PHO","","","",""
"24511-80806","PG","Lonzo","Lonzo Ball","Ball","34.25","52","7800","MIL@LAL","LAL","MIL","O","Knee","",""
"24511-12341","SF","Paul","Paul George","George","38.464863545185814","74","7700","DEN@OKC","OKC","DEN","","","",""
"24511-14496","PG","Ricky","Ricky Rubio","Rubio","28.776055994168132","71","7700","MEM@UTA","UTA","MEM","","","",""
"24511-80809","SF","Josh","Josh Jackson","Jackson","22.598629468107877","73","7600","PHO@HOU","PHO","HOU","","","",""
"24511-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.91343210704291","67","7500","MIL@LAL","MIL","LAL","","","",""
"24511-9874","PF","Kevin","Kevin Love","Love","33.22641509433962","53","7500","NO@CLE","CLE","NO","GTD","Concussion","",""
"24511-14518","PF","Tobias","Tobias Harris","Harris","31.306847977311644","73","7500","LAC@POR","LAC","POR","","","",""
"24511-9561","C","DeAndre","DeAndre Jordan","Jordan","35.83000139508928","70","7500","LAC@POR","LAC","POR","","","",""
"24511-16261","SG","Khris","Khris Middleton","Middleton","34.98400065104167","75","7500","MIL@LAL","MIL","LAL","","","",""
"24511-66108","PG","Jamal","Jamal Murray","Murray","27.826666666666668","75","7400","DEN@OKC","DEN","OKC","","","",""
"24511-55057","C","Jusuf","Jusuf Nurkic","Nurkic","31.559722900390625","72","7400","LAC@POR","POR","LAC","","","",""
"24511-9446","PG","Jeff","Jeff Teague","Teague","30.847691932091347","65","7300","MIN@DAL","MIN","DAL","","","",""
"24511-23169","C","Steven","Steven Adams","Adams","31.840000697544642","70","7200","DEN@OKC","OKC","DEN","","","",""
"24511-9581","C","Marc","Marc Gasol","Gasol","37.494204313858695","69","7100","MEM@UTA","MEM","UTA","","","",""
"24511-9621","C","Brook","Brook Lopez","Lopez","24.777273467092805","66","7100","MIL@LAL","LAL","MIL","","","",""
"24511-23572","SF","Taurean","Taurean Prince","Prince","25.532894736842106","76","7000","PHI@ATL","ATL","PHI","","","",""
"24511-40201","PG","Dennis","Dennis Schroder","Schroder","33.24029996501866","67","7000","PHI@ATL","ATL","PHI","GTD","Ankle","",""
"24511-9692","SG","Tyreke","Tyreke Evans","Evans","35.29423170823317","52","7000","MEM@UTA","MEM","UTA","O","Personal","",""
"24511-58460","SG","Devin","Devin Booker","Booker","37.17222312644676","54","6900","PHO@HOU","PHO","HOU","O","Hand","",""
"24511-9662","SG","Lou","Lou Williams","Williams","34.9054054054054","74","6800","LAC@POR","LAC","POR","","","",""
"24511-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","27.9015380859375","65","6700","MIN@DAL","DAL","MIN","","","",""
"24511-49116","SG","Andrew","Andrew Wiggins","Wiggins","29.277632863898027","76","6700","MIN@DAL","MIN","DAL","","","",""
"24511-9729","PF","Paul","Paul Millsap","Millsap","30.570968135710686","31","6600","DEN@OKC","DEN","OKC","","","",""
"24511-55056","PF","Dario","Dario Saric","Saric","28.11756690772804","74","6600","PHI@ATL","PHI","ATL","","","",""
"24511-17333","SG","Will","Will Barton","Barton","30.348649308488177","74","6600","DEN@OKC","DEN","OKC","","","",""
"24511-24544","SG","Gary","Gary Harris","Harris","29.743077674278847","65","6600","DEN@OKC","DEN","OKC","O","Knee","",""
"24511-58377","PF","Kyle","Kyle Kuzma","Kuzma","27.67534313463185","73","6500","MIL@LAL","LAL","MIL","","","",""
"24511-15946","SF","Harrison","Harrison Barnes","Barnes","30.287499321831596","72","6500","MIN@DAL","DAL","MIN","","","",""
"24511-23120","SF","TJ","TJ Warren","Warren","31.26307654747596","65","6500","PHO@HOU","PHO","HOU","O","Knee","",""
"24511-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","27.38787841796875","66","6300","MIL@LAL","LAL","MIL","","","",""
"24511-59318","SF","Joe","Joe Ingles","Ingles","25.424000651041666","75","6300","MEM@UTA","UTA","MEM","","","",""
"24511-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","24.274193548387096","62","6100","LAC@POR","POR","LAC","","","",""
"24511-66048","SF","Brandon","Brandon Ingram","Ingram","30.15762794623941","59","6000","MIL@LAL","LAL","MIL","","","",""
